"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"284390","312400","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{F97A6934-3D44-82C3-23FD-B30A5628E6B5}"
"284391","312401","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{2C2E2FE0-30EA-2B3A-7067-A88EDBDA3196}"
"284392","312402","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{2B2F361D-EE88-CECE-445B-F150C50CB517}"
"284393","312403","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{6C04EA9E-4D8D-E09A-31EB-F7EEED52E93A}"
"284395","312406","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{817DEC03-7000-1BC0-32CF-77917B06790F}"
"284397","312407","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{235833DF-FA4A-B6B5-2C42-71495E4FC828}"
"284399","312409","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{41DA61FF-7F1D-4EB7-FE9A-D89E8C1BB54A}"
"284401","312411","223495.52","29660.00","7500.00",".00","37160.00","260655.52","25123.48",".00",".00","25123.48","235532.04",".00","195542.51","87050.00","37160.00","124210.00","319752.51","59096.99","25123.48","84220.47","235532.04","","{2EE64421-7857-1F6A-B73D-1DF051635F06}"
"284402","312412","235532.04","62025.00",".00",".00","62025.00","297557.04","146857.32",".00",".00","146857.32","150699.72",".00","195542.51","124210.00","62025.00","186235.00","381777.51","84220.47","146857.32","231077.79","150699.72","","{1A521064-396D-A5C5-6FA4-AB98C59F017B}"
"284403","312413","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{C8790FCE-8586-1463-BC31-DF224F206341}"
"284404","312414","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{C122EF03-1BCC-09AC-FC56-1330DE72961F}"
"284405","312415","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{2091E0B9-BD15-9EFA-7D79-397A0C8B5286}"
"284407","312417","5634.81",".00",".00",".00",".00","5634.81","4431.27",".00",".00","4431.27","1203.54",".00","2047.79","5688.40",".00","5688.40","7736.19","2101.38","4431.27","6532.65","1203.54","","{249F422B-65B9-39EA-2DBF-E148830FE3E8}"
"284408","312418","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{3316F6AD-C872-220C-E3B7-2B40AFFF4899}"
"284409","312419","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{A6040B46-D03C-17C3-CA6D-72224ACF7506}"
"284411","312421","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{02F31EA7-C47A-3E3B-B606-8E271706126B}"
"284412","312422","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{3663F8E2-4598-E0A8-13D7-571195BA293E}"
"284413","312423","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{4F854414-E6EE-A907-703D-BC97EA0B5751}"
"284415","312425","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{9591FA63-DE37-2E83-2433-147C29D69452}"
"284416","312426","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{F51E3E3D-DA67-CC59-7B17-1C8EFB937C49}"
"284417","312427","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{FA1AF9A9-303F-992A-1E0F-D9EF8B60DDF9}"
"284418","312428","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{65C6B293-4944-08C4-9BF2-CE7F08534EA0}"
"284419","312429","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{4AC236FC-B50D-69D3-B7C9-65AAC3315023}"
"284423","312435","189.29",".00",".00",".00",".00","189.29","89.29","100.00",".00","189.29",".00",".00","189.29",".00",".00",".00","189.29",".00","189.29","189.29",".00","","{5E7B48F4-4310-7AD7-2A57-D9867B347063}"
"284427","312439","107.46",".00",".00","692.54","692.54","800.00",".00","692.54",".00","692.54","107.46",".00",".00","2600.00","692.54","3292.54","3292.54","2492.54","692.54","3185.08","107.46","","{742F071C-B6E6-6415-A650-B41D990CAEEB}"
"284442","312462","10304.14","1520.00",".00",".00","1520.00","11824.14","68.79",".00",".00","68.79","11755.35",".00","6681.50","3780.00","1520.00","5300.00","11981.50","157.36","68.79","226.15","11755.35","","{E2793EC6-E66C-CF15-DB2F-B939D0124274}"
"284443","312463",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{65CF0241-CE4D-400E-F55A-27B8428F1188}"
"284447","312467",".00","2100.00",".00",".00","2100.00","2100.00",".00",".00",".00",".00","2100.00",".00",".00",".00","2100.00","2100.00","2100.00",".00",".00",".00","2100.00","","{0132EF05-63C0-B75E-F235-3B3F62322DD5}"
"284450","312470","18460.51",".00",".00",".00",".00","18460.51",".00",".00","18460.51","18460.51",".00",".00","17735.51","1000.00",".00","1000.00","18735.51","275.00","18460.51","18735.51",".00","","{D7E16847-74AC-412D-EAB1-25A8E03D60C1}"
