"State_House_District","Precinct"
20,"410 - MOUNTAIN VIEW"
20,"411 - MULLEN"
20,"515 - MARSHALL"
21,"104 - NOKESVILLE"
21,"105 - PINEY BRANCH"
21,"106 - UNITY REED"
21,"107 - MARSTELLER"
21,"108 - VICTORY"
21,"109 - CHRIS YUNG"
21,"110 - BUCKLAND MILLS"
21,"111 - LIMESTONE"
21,"112 - BURKE-NICKENS"
21,"202 - WEST GATE"
21,"204 - ELLIS"
21,"205 - BUCKHALL"
21,"209 - INDEPENDENT HILL"
21,"214 - LUCASVILLE"
21,"401 - EVERGREEN"
21,"402 - GRAVELY"
21,"403 - BULL RUN"
21,"404 - UNITY BRAXTON"
21,"405 - BEN LOMOND"
21,"406 - ALVEY"
21,"407 - HERITAGE HUNT"
21,"409 - TYLER"
21,"410 - MOUNTAIN VIEW"
21,"411 - MULLEN"
21,"412 - CATHARPIN"
21,"413 - REAGAN"
21,"414 - SEYMOUR"
21,"501 - SPRINGWOODS"
22,"101 - BRENTSVILLE"
22,"102 - CEDAR POINT"
22,"103 - GLENKIRK"
22,"104 - NOKESVILLE"
22,"105 - PINEY BRANCH"
22,"107 - MARSTELLER"
22,"108 - VICTORY"
22,"109 - CHRIS YUNG"
22,"110 - BUCKLAND MILLS"
22,"111 - LIMESTONE"
22,"112 - BURKE-NICKENS"
22,"113 - LAKES"
22,"114 - BRISTOW RUN"
22,"203 - BENNETT"
22,"205 - BUCKHALL"
22,"206 - COLES"
22,"208 - COLGAN"
22,"209 - INDEPENDENT HILL"
22,"210 - YATES FORD"
22,"214 - LUCASVILLE"
22,"316 - POTOMAC SHORES"
22,"406 - ALVEY"
22,"409 - TYLER"
22,"412 - CATHARPIN"
22,"515 - MARSHALL"
22,"609 - KING"
23,"101 - HARTWOOD"
23,"106 - FORGE"
23,"201 - ROCK HILL"
23,"203 - RUBY"
23,"204 - STEFANIGA"
23,"205 - MOUNT ARARAT"
23,"209 - INDEPENDENT HILL"
23,"301 - DUMFRIES"
23,"301 - STAFFORDBORO"
23,"302 - POTOMAC"
23,"302 - WIDEWATER"
23,"303 - BARRETT HEIGHTS"
23,"303 - GRAHAM PARK"
23,"304 - AQUIA EPISCOPAL"
23,"304 - QUANTICO"
23,"305 - GRIFFIS"
23,"306 - FOUR SEASONS"
23,"306 - MIDWAY"
23,"310 - PW FOREST PARK"
23,"311 - SWANS CREEK"
23,"312 - TRIANGLE"
23,"313 - CARDINAL"
23,"315 - WILLIAMS"
23,"316 - POTOMAC SHORES"
23,"401 - COURTHOUSE"
23,"402 - BROOKE"
23,"405 - HOPE"
23,"406 - AQUIA"
23,"507 - CHINN"
23,"615 - COMMONS"
23,"616 - MARKHAM"
23,"702 - WHITSON"
23,"703 - HAMPTON"
23,"704 - POOLE"
23,"708 - RIVER OAKS"
23,"709 - FREEDOM"
23,"710 - POWELLS CREEK"
24,"201 - HYLTON"
24,"206 - COLES"
24,"207 - SPRIGGS"
24,"208 - COLGAN"
24,"209 - INDEPENDENT HILL"
24,"215 - ROSA PARKS"
24,"305 - FOREST PARK"
24,"306 - FOUR SEASONS"
24,"307 - HENDERSON"
24,"308 - MONTCLAIR"
24,"309 - ASHLAND"
24,"313 - CARDINAL"
24,"314 - CABIN BRANCH"
24,"601 - DALE"
24,"603 - HAMPTON"
24,"604 - GAR-FIELD"
24,"606 - BEL AIR"
24,"608 - ENTERPRISE"
24,"609 - KING"
24,"610 - FITZGERALD"
24,"611 - NEABSCO"
24,"614 - MCAULIFFE"
24,"702 - LIBRARY"
24,"705 - POTOMAC VIEW"
25,"101 - BRENTSVILLE"
25,"201 - HYLTON"
25,"205 - BUCKHALL"
25,"215 - ROSA PARKS"
25,"302 - POTOMAC"
25,"303 - GRAHAM PARK"
25,"310 - PW FOREST PARK"
25,"311 - SWANS CREEK"
25,"313 - CARDINAL"
25,"501 - SPRINGWOODS"
25,"502 - OCCOQUAN"
25,"503 - MOHICAN"
25,"504 - ROCKLEDGE"
25,"505 - LAKE RIDGE"
25,"506 - OLD BRIDGE"
25,"507 - CHINN"
25,"508 - PENN"
25,"509 - MC COART"
25,"510 - COUNTY CENTER"
25,"511 - WESTRIDGE"
25,"512 - YORK"
25,"513 - WOODBRIDGE"
25,"514 - ANTIETAM"
25,"516 - KERRYDALE"
25,"601 - DALE"
25,"602 - BEVILLE"
25,"604 - GAR-FIELD"
25,"605 - MINNIEVILLE"
25,"606 - BEL AIR"
25,"607 - JENKINS"
25,"608 - ENTERPRISE"
25,"609 - KING"
25,"611 - NEABSCO"
25,"612 - ELM FARM"
25,"613 - HOADLY"
25,"614 - MCAULIFFE"
25,"615 - COMMONS"
25,"701 - BELMONT"
25,"706 - RIPPON"
25,"707 - KILBY"
25,"708 - RIVER OAKS"
25,"709 - FREEDOM"
25,"712 - LEESYLVANIA"
26,"107 - LITTLE RIVER"
26,"108 - MERCER"
26,"112 - FREEDOM"
26,"114 - DULLES SOUTH"
26,"117 - CARTER"
26,"118 - MOOREFIELD"
26,"119 - ARCOLA"
26,"120 - LUNSFORD"
26,"121 - TOWN HALL"
26,"122 - HUTCHISON FARM"
26,"124 - LIBERTY"
26,"125 - ROCK RIDGE"
26,"126 - GOSHEN POST"
26,"312 - BRIAR WOODS"
26,"313 - PINEBROOK"
26,"314 - LEGACY"
26,"316 - CREIGHTON'S CORNER"
26,"318 - MADISON'S TRUST"
26,"319 - JOHN CHAMPE"
26,"320 - STONE HILL"
26,"321 - BRAMBLETON MIDDLE"
26,"322 - BUFFALO TRAIL"
26,"617 - OAK GROVE"
26,"628 - MOOREFIELD STATION"
26,"808 - STONE BRIDGE"
26,"818 - BROAD RUN"
27,"107 - LITTLE RIVER"
27,"114 - DULLES SOUTH"
27,"117 - CARTER"
27,"123 - CARDINAL RIDGE"
27,"124 - LIBERTY"
27,"209 - POTOMAC FALLS"
27,"210 - CASCADES"
27,"214 - SUGARLAND NORTH"
27,"215 - SUGARLAND SOUTH"
27,"216 - LOWES ISLAND"
27,"217 - SOUTH BANK"
27,"319 - JOHN CHAMPE"
27,"322 - BUFFALO TRAIL"
27,"409 - CLARKES GAP"
27,"509 - TOLBERT"
27,"617 - OAK GROVE"
27,"619 - RIDGETOP"
27,"621 - DOMINION TRAIL"
27,"628 - MOOREFIELD STATION"
27,"629 - DISCOVERY"
27,"701 - SULLY"
27,"702 - PARK VIEW"
27,"703 - ROLLING RIDGE"
27,"705 - FOREST GROVE"
27,"707 - CLAUDE MOORE PARK"
27,"708 - SENECA"
27,"709 - MIRROR RIDGE"
27,"710 - STERLING"
28,"112 - FREEDOM"
28,"117 - CARTER"
28,"118 - MOOREFIELD"
28,"122 - HUTCHISON FARM"
28,"124 - LIBERTY"
28,"125 - ROCK RIDGE"
28,"207 - RIVER BEND"
28,"208 - ALGONKIAN"
28,"213 - COUNTRYSIDE"
28,"215 - SUGARLAND SOUTH"
28,"219 - GALILEE CHURCH"
28,"312 - BRIAR WOODS"
28,"314 - LEGACY"
28,"316 - CREIGHTON'S CORNER"
28,"319 - JOHN CHAMPE"
28,"320 - STONE HILL"
28,"401 - WEST LOVETTSVILLE"
28,"408 - EVERGREEN"
28,"509 - TOLBERT"
28,"615 - HILLSIDE"
28,"616 - EAGLE RIDGE"
28,"619 - RIDGETOP"
28,"620 - RUSSELL BRANCH"
28,"621 - DOMINION TRAIL"
28,"622 - FARMWELL STATION"
28,"623 - WELLER"
28,"625 - MILL RUN"
28,"626 - ASHBY PONDS"
28,"627 - ASHBROOK"
28,"628 - MOOREFIELD STATION"
28,"629 - DISCOVERY"
28,"707 - CLAUDE MOORE PARK"
28,"808 - STONE BRIDGE"
28,"810 - CEDAR LANE"
28,"813 - SELDENS LANDING"
28,"817 - SANDERS CORNER"
28,"818 - BROAD RUN"
28,"819 - HERITAGE CHURCH"
28,"820 - BELMONT STATION"
29,"118 - MOOREFIELD"
29,"126 - GOSHEN POST"
29,"213 - COUNTRYSIDE"
29,"218 - UNIVERSITY CENTER"
29,"308 - ST LOUIS"
29,"310 - MOUNTAIN VIEW"
29,"311 - ROUND HILL ELEMENTARY"
29,"312 - BRIAR WOODS"
29,"316 - CREIGHTON'S CORNER"
29,"402 - WATERFORD"
29,"403 - LUCKETTS"
29,"407 - HARPER PARK"
29,"408 - EVERGREEN"
29,"409 - CLARKES GAP"
29,"414 - RED ROCK"
29,"416 - HAMILTON"
29,"420 - RIVER CREEK"
29,"422 - SYCOLIN CREEK"
29,"501 - WEST LEESBURG"
29,"502 - EAST LEESBURG"
29,"503 - DRY MILL"
29,"504 - SMARTS MILL"
29,"505 - COOL SPRING"
29,"506 - BRANDON PARK"
29,"507 - GREENWAY"
29,"508 - BALLS BLUFF"
29,"509 - TOLBERT"
29,"510 - HERITAGE"
29,"628 - MOOREFIELD STATION"
29,"810 - CEDAR LANE"
29,"813 - SELDENS LANDING"
29,"814 - NEWTON-LEE"
29,"815 - BELMONT RIDGE"
29,"819 - HERITAGE CHURCH"
29,"820 - BELMONT STATION"
29,"822 - RIVERSIDE"
30,"119 - ARCOLA"
30,"126 - GOSHEN POST"
30,"215 - SUGARLAND SOUTH"
30,"301 - PURCELLVILLE"
30,"302 - ROUND HILL"
30,"303 - HILLSBORO"
30,"305 - PHILOMONT"
30,"307 - MIDDLEBURG"
30,"308 - ST LOUIS"
30,"309 - ALDIE"
30,"310 - MOUNTAIN VIEW"
30,"311 - ROUND HILL ELEMENTARY"
30,"313 - PINEBROOK"
30,"315 - FIREHOUSE"
30,"316 - CREIGHTON'S CORNER"
30,"318 - MADISON'S TRUST"
30,"319 - JOHN CHAMPE"
30,"321 - BRAMBLETON MIDDLE"
30,"322 - BUFFALO TRAIL"
30,"401 - SALEM"
30,"401 - WEST LOVETTSVILLE"
30,"402 - LEEDS"
30,"402 - WATERFORD"
30,"403 - LUCKETTS"
30,"403 - WATERLOO"
30,"409 - CLARKES GAP"
30,"411 - EAST LOVETTSVILLE"
30,"413 - TUSCARORA"
30,"416 - HAMILTON"
30,"421 - BETWEEN THE HILLS"
30,"422 - SYCOLIN CREEK"
30,"501 - HOPEWELL"
30,"503 - DRY MILL"
30,"505 - THE PLAINS"
30,"508 - BALLS BLUFF"
30,"628 - MOOREFIELD STATION"
31,"101 - FORK TOWN"
31,"101 - RUSSELL"
31,"102 - OTTERBURN"
31,"103 - KERNSTOWN"
31,"104 - CEDAR CREEK"
31,"105 - MIDDLETOWN"
31,"201 - BERRYVILLE"
31,"201 - HAPPY CREEK"
31,"202 - LINDEN"
31,"301 - MILLWOOD"
